"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FHIR-Diagnostic-Report-Status","FHIR-Diagnostic-Report-Status","FHIR-Diagnostic-Report-Status","","","",0,*,"","","","","FHIR Diagnostic Report Status ","Supporting logical model generated from gloo4.xmi (source class: FHIR Diagnostic Report Status ).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Fordjupad-analys","Fordjupad-analys","Fordjupad-analys","","","",0,*,"","","","null {[]} {[]}
","Fördjupad analys","Supporting logical model generated from gloo4.xmi (source class: Fördjupad analys).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Fordjupad-analys","Fordjupad-analys.arEn","Fordjupad-analys.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Fordjupad-analys.arEn",0,1,"",""
"Forekomst-av-antikropp-titer","Forekomst-av-antikropp-titer","Forekomst-av-antikropp-titer","","","",0,*,"","","","","Förekomst av antikropp (titer)","Supporting logical model generated from gloo4.xmi (source class: Förekomst av antikropp (titer)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HSA-verksamhetskod","HSA-verksamhetskod","HSA-verksamhetskod","","","",0,*,"","","","","HSA verksamhetskod","Supporting logical model generated from gloo4.xmi (source class: HSA verksamhetskod).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","","","",0,*,"","","","null {[]} {[]}
","Hälso- och sjukvårdspersonal : Hälso- och sjukvårdspersonal","Supporting logical model generated from gloo4.xmi (source class: Hälso- och sjukvårdspersonal : Hälso- och sjukvårdspersonal).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.-id","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson._id","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/II {[]} {[]}
","Source attribute: id; renamed from reserved FSH name 'id'","Source attribute: id; renamed from reserved FSH name 'id'","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson._id",0,1,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.namn","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.namn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: namn","Source attribute: namn","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.namn",0,1,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.befattning","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.befattning","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV-CWE {[]} {[]}
","Source attribute: befattning","Source attribute: befattning","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.befattning",0,1,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harMedicinsktAnsvarig","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harMedicinsktAnsvarig","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument {[]} {[]}
","Source attribute: har medicinskt ansvarig","Source attribute: har medicinskt ansvarig","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harMedicinsktAnsvarig",0,*,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.utforsAv","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.utforsAv","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Signering-Deltagande {[]} {[]}
","Source attribute: utförs av","Source attribute: utförs av","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.utforsAv",0,*,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harRemittent","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harRemittent","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remiss-Dokument {[]} {[]}
","Source attribute: har remittent","Source attribute: har remittent","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harRemittent",0,*,"",""
"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harUppdragFor","Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harUppdragFor","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisatorisk-enhet {[]} {[]}
","Source attribute: har uppdrag för","Source attribute: har uppdrag för","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.harUppdragFor",0,*,"",""
"Halso--och-sjukvardspersonal","Halso--och-sjukvardspersonal","Halso--och-sjukvardspersonal","","","",0,*,"","","","null {[]} {[]}
",": Hälso- och sjukvårdspersonal","Supporting logical model generated from gloo4.xmi (source class: : Hälso- och sjukvårdspersonal).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Halso--och-sjukvardspersonal","Halso--och-sjukvardspersonal.gorsAv","Halso--och-sjukvardspersonal.gorsAv","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Signering-Deltagande-2 {[]} {[]}
","Source attribute: görs av","Source attribute: görs av","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal.gorsAv",0,1,"",""
"Halso--och-sjukvardspersonal","Halso--och-sjukvardspersonal.arEn","Halso--och-sjukvardspersonal.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remittent-Halso--och-sjukvardspersonal {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Halso--och-sjukvardspersonal.arEn",0,1,"",""
